Date,Description,Deposits,Withdrawls,Balance,Category
20-Aug-20,Cheque,"5,82,827.75",0,"6,09,730.09",Food
20-Aug-20,Interest,00.00,"76,216.26","5,33,513.83",Food
20-Aug-20,Cheque,00.00,"1,77,837.94","3,55,675.89",Food
20-Aug-20,Tax,00.00,"50,810.84","3,04,865.05",Food
20-Aug-20,Debit Card,"2,60,428.00",00.00,"5,65,293.05",Food
20-Aug-20,Interest,"10,289.95",00.00,"5,75,583.00",Food
20-Aug-20,ATM,00.00,"5,75,583.00",00.00,Food
20-Aug-20,Commission,02.00,00.00,02.00,Food
20-Aug-20,RTGS,"2,59,250.00",00.00,"2,59,252.00",Food
20-Aug-20,RTGS,"15,87,927.50",00.00,"18,47,179.50",Food
20-Aug-20,Reversal,03.00,00.00,"18,47,182.50",Food
20-Aug-20,ATM,"7,39,105.00",00.00,"25,86,287.50",Food
20-Aug-20,Tax,00.00,"4,31,047.92","21,55,239.58",Food
20-Aug-20,Purchase,"4,58,962.50",00.00,"26,14,202.08",Food
20-Aug-20,RTGS,"31,544.40",00.00,"26,45,746.48",Food
20-Aug-20,Cheque,00.00,"26,45,746.48",00.00,Food
20-Aug-20,IMPS,21.6,00.00,21.6,Food
20-Aug-20,Purchase,"1,33,742.00",00.00,"1,33,763.60",Food
20-Aug-20,NEFT,00.00,"14,862.62","1,18,900.98",Food
20-Aug-20,Tax,02.80,00.00,"1,18,903.78",Food
20-Aug-20,Commission,"1,55,885.00",00.00,"2,74,788.78",Food
20-Aug-20,Purchase,184.23,00.00,"2,74,973.01",Food
20-Aug-20,Transportellaneous,00.00,"54,994.60","2,19,978.41",Food
20-Aug-20,Debit Card,380.93,00.00,"2,20,359.34",Food
21-Aug-20,Cash,00.00,"31,479.91","1,88,879.43",Food
21-Aug-20,Cash,00.00,"47,219.86","1,41,659.57",Food
21-Aug-20,Reversal,00.00,"47,219.86","94,439.71",Food
21-Aug-20,Tax,00.00,"13,491.39","80,948.32",Food
21-Aug-20,Transfer,35.89,00.00,"80,984.21",Food
21-Aug-20,Bill,47,00.00,"81,031.21",Food
21-Aug-20,Reversal,00.00,"13,505.20","67,526.01",Food
21-Aug-20,IMPS,00.00,"67,526.01",00.00,Food
21-Aug-20,Bill,"29,903.10",00.00,"29,903.10",Food
21-Aug-20,Purchase,"22,292.40",00.00,"52,195.50",Food
21-Aug-20,Purchase,"8,36,681.00",00.00,"8,88,876.50",Food
21-Aug-20,Cheque,"12,62,915.00",00.00,"21,51,791.50",Food
21-Aug-20,Reversal,00.00,"2,15,179.15","19,36,612.35",Transport
21-Aug-20,Transportellaneous,11.3,00.00,"19,36,623.65",Transport
21-Aug-20,Interest,"22,367.00",00.00,"19,58,990.65",Transport
21-Aug-20,Cheque,00.00,"2,44,873.83","17,14,116.82",Transport
21-Aug-20,IMPS,00.00,"3,42,823.36","13,71,293.46",Transport
21-Aug-20,Tax,01.60,00.00,"13,71,295.06",Transport
